Score,City,X,Y,Name,Type_1,City_1,FullAddres
100,Albuquerque,-106.5293204,35.07161784,Aljawadain Market Inc,Small Grocery Store,Albuquerque,9012 Central Ave SE
100,Albuquerque,-106.5293204,35.07161784,Aljawadain Market Inc,Small Grocery Store,Albuquerque,9012 Central Ave SE
100,Albuquerque,-106.5328236,35.10129528,Aljawadain Market Inc,Small Grocery Store,Albuquerque,1716 Eubank Blvd NE
99.19,Albuquerque,-106.5863396,35.14182498,ALL THE AMERICAS,Meat/Poultry Specialty,ALBUQUERQUE,"6001 SAN MATEO BLVD., NE"
99.03,Albuquerque,-106.6391767,35.13138303,ALLIANT FOODSERVICE 1933,Wholesaler,ALBUQUERQUE,5600 2ND ST. NW
99.13,Albuquerque,-106.6391767,35.13138303,ALLIANT FOODSERVICE #1933,Wholesaler,ALBUQUERQUE,5600 2ND STREET NW
100,Albuquerque,-106.5449446,35.07338401,ALLSUPS  141,Medium Grocery Store,Albuquerque,9201 Central Ave NE
100,Albuquerque,-106.569396,35.13065725,Alqud's Mediterranean Grill & Grocery,Small Grocery Store,Albuquerque,5555 Montgomery Blvd NE
100,Albuquerque,-106.581886,35.06867257,ANDONG ORIENTAL MARKET,Medium Grocery Store,Albuquerque,110 Alvarado Dr SE
100,Albuquerque,-106.586284,35.08302674,Ariana Halal Market,Medium Grocery Store,Albuquerque,607 San Mateo Blvd NE
100,Albuquerque,-106.586558,35.05936412,"Ariana Import And Export, Inc.",Combination Grocery/Other,Albuquerque,1401 San Mateo Blvd SE
100,Albuquerque,-106.6776187,35.0525136,Armijo Village Growers' Market,Farmers' Market,Albuquerque,1635 Isleta Blvd Sw
100,Albuquerque,-106.581886,35.06867257,ASIAN MARKET,Small Grocery Store,Albuquerque,110 Alvarado Dr SE
100,Albuquerque,-106.6639062,35.06887555,Awad Food Mart,Medium Grocery Store,Albuquerque,100 La Vega Dr Sw
100,Albuquerque,-106.5336439,35.10886092,AZAR'S PRIME MEAT,Meat/Poultry Specialty,Albuquerque,9624 Menaul Blvd NE
100,Albuquerque,-106.5336439,35.10886092,AZAR'S PRIME MEATS,Meat/Poultry Specialty,Albuquerque,9624 Menaul Blvd NE
100,Albuquerque,-106.5479328,35.07358223,Babylon Grocery & Cafe,Combination Grocery/Other,Albuquerque,8922 Central Ave SE
94.79,Albuquerque,-106.6171397,35.06959759,BAG & SAVE FOODS #103,Supermarket,ALBUQUERQUE,1920 COLUMBIA SE
100,Albuquerque,-106.6132185,35.05999721,BAG & SAVE FOODS #105,Supermarket,Albuquerque,1921 Girard Blvd SE
97,Albuquerque,-106.6628883,35.18600446,BAG N SAVE  117,Supermarket,ALBUQUERQUE,10701 COORS
96.59,Albuquerque,-106.6862812,35.06524368,BAG N SAVE 118,Supermarket,ALBUQUERQUE,1720 BRIDGE
95,Albuquerque,-106.5328236,35.10129528,BAKERY THRIFT STORE #461,Bakery Specialty,ALBUQUERQUE,1529 D EUBANK
100,Albuquerque,-106.6399633,35.0790284,BAKERY THRIFT STORE#4601,Small Grocery Store,Albuquerque,701 Coal Ave SE
100,Albuquerque,-106.712675,35.03506591,Beef Jerky El Rey,Combination Grocery/Other,Albuquerque,1100 Coors Blvd SW
100,Albuquerque,-106.712675,35.03506591,"Beef-Jerky El Rey, Llc 1",Meat/Poultry Specialty,Albuquerque,1100 Coors Blvd SW
100,Albuquerque,-106.6381497,35.10984146,BEN E. KEITH FOODS OF NEW MEXICO,Wholesaler,Albuquerque,308 Menaul Blvd NE
100,Albuquerque,-106.7002381,35.08217044,BIG G'S FOODMASTER,Medium Grocery Store,Albuquerque,5614 Central Ave SW
99.22,Albuquerque,-106.5227763,35.13073145,BIG KMART 3444,Combination Grocery/Other,ALBUQUERQUE,9500 MONTGOMERY BLVD NE
100,Albuquerque,-106.6856434,35.08545586,BIG KMART  4400,Combination Grocery/Other,Albuquerque,4208 Central Ave SW
