Score,City,X,Y,Name,Type_1,city,county,FullAddress
99.05,Bloomfield,-108.0042159,36.46808994,Carson Trading Post,Small Grocery Store,Bloomfield,SAN JUAN,670 County Rd 7150
100,Bloomfield,-107.9976,36.71131104,Dollar General 6789,Combination Grocery/Other,Bloomfield,SAN JUAN,1502 W Broadway Ave
100,Bloomfield,-107.9651979,36.71126849,Dollar General 15654,Combination Grocery/Other,Bloomfield,SAN JUAN,1001 E Broadway Ave
100,Bloomfield,-107.979078,36.7207239,Dollar General 24608,Combination Grocery/Other,Bloomfield,SAN JUAN,910 N 1st St
100,Bloomfield,-107.9900461,36.71115374,El Toro Rey Meat Market,Meat/Poultry Specialty,Bloomfield,SAN JUAN,911 W Broadway Ave
100,Bloomfield,-107.9790998,36.71184179,Family Dollar Store 4838,Combination Grocery/Other,Bloomfield,SAN JUAN,104 N 1st St
100,Bloomfield,-107.9838876,36.71120386,FARMERS FAMILY CENTER,Super Store,Bloomfield,SAN JUAN,401 W Broadway Ave
98.94,Bloomfield,-108.00036,36.68801319,NAVAJO PRODUCE,Small Grocery Store,Bloomfield,SAN JUAN,CO RD. 5060
100,Bloomfield,-107.9849433,36.7100437,SUNDIAL DELI-MART # 3,Combination Grocery/Other,Bloomfield,SAN JUAN,121 S Bloomfield Blvd
100,Bloomfield,-107.9854112,36.71132196,SUTHERLAND'S FARM STORE,Fruits/Veg Specialty,Bloomfield,SAN JUAN,500 W Broadway Ave
96.85,Bloomfield,-107.9857344,36.70931123,THE PRODUCE SHACK,Fruits/Veg Specialty,Bloomfield,SAN JUAN,408 W. MAPLE
100,Bloomfield,-108.0449336,36.67553421,WEST HAMMOND GROCERY,Meat/Poultry Specialty,Bloomfield,SAN JUAN,472 County Road 5500
95.53,Bluewater,-107.9795396,35.25342242,BLUEWATER MINI MART,Small Grocery Store,BLUEWATER ACRES,CIBOLA,80 W. PINON
85.9,Thoreau,-108.1347145,35.2973368,SILVA'S,Small Grocery Store,BLUEWATER ACRES,CIBOLA,HGT 612
